1,0,Title_t,THE ILLUMINATI ARE WATCHING YOU,,
1,0,Copyright_t,I have hidden the password in this file using uncrackable NSA-proof Maths Technology! THE I11LUMINATI ARE WATCHING,,
1,2,Program_c,11,0,
1,71,Note_on_c,11,71,11
1,188,Note_on_c,11,117,11
1,302,Note_on_c,11,114,11
1,334,Note_on_c,11,32,11
1,433,Note_on_c,11,99,11
1,543,Note_on_c,11,110,11
1,645,Note_on_c,11,102,11
1,747,Note_on_c,11,102,11
1,853,Note_on_c,11,106,11
1,951,Note_on_c,11,98,11
1,1052,Note_on_c,11,101,11
1,1165,Note_on_c,11,113,11
1,1197,Note_on_c,11,32,11
1,1315,Note_on_c,11,118,11
1,1417,Note_on_c,11,102,11
1,1449,Note_on_c,11,32,11
1,1531,Note_on_c,11,82,11
1,1609,Note_on_c,11,78,11
1,1678,Note_on_c,11,69,11
1,1767,Note_on_c,11,89,11
1,1838,Note_on_c,11,71,11
1,1920,Note_on_c,11,82,11
1,1998,Note_on_c,11,78,11
1,2082,Note_on_c,11,84,11
1,2151,Note_on_c,11,69,11
1,2233,Note_on_c,11,82,11
1,2309,Note_on_c,11,76,11
1,2355,Note_on_c,11,46,11
